merchant_name,merchant_area,latitude,longitude,rating,main_category,sub_category,product,price
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,jajanan,Pisang Lumer Coklat,19000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,jajanan,Roti Bakar,22500.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,jajanan,Kentang Goreng,22500.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,aneka_nasi,Paket Ngemil 1,35000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,aneka_nasi,Paket Ngemil 2,35000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,aneka_nasi,Paket Ngemil 3,35000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,aneka_nasi,Paket Mix Bento,37000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,aneka_nasi,Paket Bento Shrimp Roll,37000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,aneka_nasi,Paket Bento Ebi Furai,37000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,aneka_nasi,Paket Bento Ekkado,37000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,aneka_nasi,Paket Chicken Teriyaki,37000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,aneka_nasi,Paket Chicken Blackpaper,37000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,aneka_nasi,Paket Beff Teriyaki,37000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,aneka_nasi,Paket Beff Blackpaper,37000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,bakmie,Paket Mie Ayam,25000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,bakmie,Paket Mie Ayam Bakso,27000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,bakmie,Paket Mie Yamin,25000.0
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,bakmie,Paket Mie Yamin Bakso,27000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,aneka_nasi,Hemat Berdua,70000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,aneka_nasi,Hemat 1,33000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,aneka_nasi,Hemat Combo 3,105000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,aneka_nasi,Hemat Combo 2,100000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,aneka_nasi,Hemat Combo 1,90000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,aneka_nasi,Hemat Super 5,165000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,barat,Chicken Steak Pops,20000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,barat,Sirloin Steak Beef Pops,25000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,barat,Tenderloin Steak Beef Pop,25000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,barat,Chicken Crispy,25000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,barat,Tenderloin Crispy,28000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,barat,Sirloin Steak Crispy,28000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,barat,Chicken Double,32000.0
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,barat,Sirloin Double,42000.0
